artist_name,release_year,mean_polarity,mean_subjectivity,pos_share,neg_share,neu_share,n_tracks
Ariana Grande,2013,0.08132068339269427,0.5075757613461418,0.16666666666666666,0.08333333333333333,0.08333333333333333,12
Ariana Grande,2014,0.037566933504433506,0.4251241550616551,0.2,0.06666666666666667,0.26666666666666666,15
Ariana Grande,2016,0.12218744674288315,0.5287443589496859,0.47058823529411764,0.11764705882352941,0.17647058823529413,17
Ariana Grande,2017,,,0.0,0.0,0.0,1
Ariana Grande,2018,,,0.0,0.0,0.0,15
Ariana Grande,2019,0.05041276744849357,0.4712463226840193,0.0625,0.020833333333333332,0.10416666666666667,48
Ariana Grande,2020,0.2115942028985506,0.5449275362318843,0.05,0.0,0.0,20
Ariana Grande,2021,0.2115942028985506,0.5449275362318843,0.06451612903225806,0.0,0.0,31
Ariana Grande,2022,,,0.0,0.0,0.0,2
Ariana Grande,2023,0.06223169694637087,0.5259156378042248,0.15,0.1,0.05,20
Ariana Grande,2024,0.06679404483703127,0.3721082927938132,0.07142857142857142,0.008928571428571428,0.03571428571428571,112
Ariana Grande,2025,0.11111111111111112,0.22222222222222224,0.09523809523809523,0.0,0.0,105
Drake,2009,0.11649698871025986,0.5005054642824922,0.6111111111111112,0.05555555555555555,0.1111111111111111,18
Drake,2010,0.14137986316778847,0.5049132314828084,0.7931034482758621,0.06896551724137931,0.06896551724137931,29
Drake,2011,0.08425369867791654,0.5375587522357015,0.3157894736842105,0.0,0.3684210526315789,19
Drake,2013,0.05404239073889676,0.5137692367841812,0.5862068965517241,0.10344827586206896,0.2413793103448276,29
Drake,2015,0.014208404501094516,0.5272386162308852,0.14285714285714285,0.10714285714285714,0.25,28
Drake,2016,0.06966502994946641,0.4847509810160564,0.4,0.0,0.4,20
Drake,2017,0.07975990879856927,0.47127367187486974,0.5,0.0,0.4090909090909091,22
Drake,2018,0.06124710327283339,0.5391482558783325,0.56,0.08,0.12,25
Drake,2019,0.02080602051277527,0.5265100997903502,0.4117647058823529,0.11764705882352941,0.47058823529411764,17
Drake,2020,0.04626630809036911,0.43533019225121894,0.2608695652173913,0.043478260869565216,0.34782608695652173,23
Drake,2021,0.07120264116999164,0.5139378588162214,0.38461538461538464,0.038461538461538464,0.3076923076923077,26
Drake,2022,0.0,0.0,0.0,0.0,0.03225806451612903,31
Drake,2023,,,0.0,0.0,0.0,65
Drake,2024,,,0.0,0.0,0.0,8
Drake,2025,,,0.0,0.0,0.0,25
Ed Sheeran,2011,0.0962528268992524,0.49213653119860024,0.5526315789473685,0.21052631578947367,0.18421052631578946,38
Ed Sheeran,2014,0.12282601891369244,0.5149037964455081,0.625,0.125,0.125,48
Ed Sheeran,2015,0.10683459927532402,0.5308627427304822,0.5217391304347826,0.13043478260869565,0.08695652173913043,23
Ed Sheeran,2017,0.19341386808098873,0.48447156833257077,0.8125,0.0,0.0625,16
Ed Sheeran,2019,0.12939281298666352,0.499751492051748,0.4666666666666667,0.0,0.26666666666666666,15
Ed Sheeran,2021,0.13415687012882663,0.4548856070325388,0.8928571428571429,0.03571428571428571,0.07142857142857142,28
Ed Sheeran,2022,0.14912985326752115,0.4644406985436442,0.6666666666666666,0.06060606060606061,0.06060606060606061,33
Ed Sheeran,2023,-0.02857142857142855,0.5428571428571428,0.0,0.0,0.014705882352941176,68
Ed Sheeran,2024,0.17438643933097836,0.5225178729949468,0.6083333333333333,0.058333333333333334,0.08333333333333333,120
Ed Sheeran,2025,,,0.0,0.0,0.0,48
Taylor Swift,2006,,,0.0,0.0,0.0,15
Taylor Swift,2008,,,0.0,0.0,0.0,43
Taylor Swift,2010,,,0.0,0.0,0.0,52
Taylor Swift,2012,0.05750284383385951,0.38425011966476985,0.21052631578947367,0.05263157894736842,0.05263157894736842,38
Taylor Swift,2014,0.0406390041887632,0.5163666193930031,0.53125,0.28125,0.1875,32
Taylor Swift,2017,0.07765693845006237,0.4835261707408605,0.21311475409836064,0.06557377049180328,0.11475409836065574,61
Taylor Swift,2018,0.06450646992081986,0.5057490440016482,0.4,0.06666666666666667,0.3333333333333333,15
Taylor Swift,2019,0.020211829724890953,0.544258048165582,0.2777777777777778,0.2777777777777778,0.16666666666666666,18
Taylor Swift,2020,,,0.0,0.0,0.0,82
Taylor Swift,2021,0.11333587804691699,0.42833390563260687,0.0547945205479452,0.0,0.0136986301369863,73
Taylor Swift,2022,,,0.0,0.0,0.0,45
Taylor Swift,2023,0.03015504487608681,0.5234397662306005,0.18,0.13,0.06,100
Taylor Swift,2024,,,0.0,0.0,0.0,57
Taylor Swift,2025,,,0.0,0.0,0.0,62
